ID,Name,Author,Title,Description,URL,urlToImage,publishedAt,content,Status,TotalResults
wired,Wired,Joel Khalili,"What’s Behind the Bitcoin Price Surge? Vibes, Mostly",The price of bitcoin has climbed to a new all-time high. But assigning the cryptocurrency a value is anything but trivial.,https://www.wired.com/story/bitcoin-price-record-economics/,"https://media.wired.com/photos/65ef46042ca08b0e59a9682f/191:100/w_1280,c_limit/031124-business-bitcoin-economics.jpg",2024-03-12T18:13:56Z,"The latest surge in the price of bitcoin is increasing the clamor around it, says Dal Bianco, drawing in yet more speculators and creating a self-reinforcing cycle. Likewise, when collective confiden… [+2967 chars]",ok,13537
wired,Wired,Joel Khalili,The Science of Crypto Forensics Survives a Court Battle—for Now,"A jury convicted Roman Sterlingov of money laundering this month. His defense team says it will appeal, saying the crypto-tracing technique at the heart of the case is “pseudoscience.”",https://www.wired.com/story/the-science-of-crypto-forensics-court-battle/,"https://media.wired.com/photos/6603759fd3a75d0aa76d16ab/191:100/w_1280,c_limit/business_crypto_tracing_forensics_trial.jpg",2024-03-27T11:00:00Z,"On March 12, Russian-Swedish national Roman Sterlingov was found guilty of money laundering conspiracy and other violations by a federal jury in Washington, DC, for having operated Bitcoin Fog, a ser… [+3654 chars]",ok,13537
wired,Wired,"Dhruv Mehrotra, Andrew Couts",Security News This Week: Russian Hackers Stole Microsoft Source Code—and the Attack Isn’t Over,"Plus: An ex-Google engineer gets arrested for allegedly stealing trade secrets, hackers breach the top US cybersecurity agency, and X’s new feature exposes sensitive user data.",https://www.wired.com/story/russia-hackers-microsoft-source-code/,"https://media.wired.com/photos/65eb4c36b7cb6be700970ab7/191:100/w_1280,c_limit/Security-Roundup-Microsoft-Russian-Hackers-GettyImages-1913821927.jpg",2024-03-09T14:00:00Z,"For years, Registered Agents Inc.a secretive company whose business is setting up other businesseshas registered thousands of companies to people who appear to not exist. Multiple former employees te… [+3299 chars]",ok,13537
wired,Wired,Anna Merlan,"Robert F. Kennedy Jr. Targets a Generation of Politically Disaffected, Extremely Online Men","In a campaign that increasingly reflects a late night TikTok scroll, Robert F. Kennedy Jr. is gathering celebrities and influencers that appeal to a young male base.",https://www.wired.com/story/robert-f-kennedy-jr-aaron-rodgers-male-vote/,"https://media.wired.com/photos/65f2ff1a9f86ee0288b77cdf/191:100/w_1280,c_limit/politics_rfk-jr-masculine-online-votes.jpg",2024-03-14T13:53:41Z,"In his continued quest to become either the president of the United States or else a very interesting footnote to someone elses reelection, Robert F. Kennedy Jr. has enlisted a number of celebrities … [+3401 chars]",ok,13537
,Gizmodo.com,Matt Novak,The Feds Are Reportedly Investigating Ethereum Foundation,"The U.S. Securities and Exchange Commission (SEC) is investigating the Ethereum Foundation and companies doing business with the nonprofit, according to a new report from Fortune Wednesday. And that’s very bad news for crypto enthusiasts who were hopeful that…",https://gizmodo.com/sec-ethereum-price-bitcoin-investigation-crypto-etf-1851352576,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/b5adaa02e058acea54ab69fa505844cc.jpg",2024-03-20T18:15:00Z,"The U.S. Securities and Exchange Commission (SEC) is investigating the Ethereum Foundation and companies doing business with the nonprofit, according to a new report from Fortune Wednesday. And thats… [+2397 chars]",ok,13537
bbc-news,BBC News,https://www.facebook.com/bbcnews,Woman found with £2bn in Bitcoin convicted,"Jian Wen, 42, from north London, was involved in converting Bitcoin into assets like luxury houses.",https://www.bbc.co.uk/news/uk-england-london-68620253,https://ichef.bbci.co.uk/news/1024/branded_news/17FE5/production/_132977289_wen2.jpg,2024-03-20T17:50:49Z,"A former takeaway worker found with Bitcoin worth more than £2bn has been convicted at Southwark Crown Court of a crime linked to money laundering.
Jian Wen, 42, from Hendon in north London, was inv… [+2779 chars]",ok,13537
ars-technica,Ars Technica,Ashley Belanger,Bitcoin price hits record $69K after SEC approvals fueled $7B in investments,"SEC chair warns bitcoin is still ""volatile"" and linked to ""illicit activity.""",https://arstechnica.com/tech-policy/2024/03/bitcoin-price-hits-record-69k-after-sec-approvals-fueled-7b-in-investments/,https://cdn.arstechnica.net/wp-content/uploads/2024/03/GettyImages-1872368024-760x380.jpg,2024-03-05T19:07:13Z,"20
Bitcoin's price hit a record high Tuesday, surging above $69,000 and notching past its prior peak price of $68,991.85 recorded in 2021.
After bitcoin's price sunk in 2022 amid a cryptocurrency i… [+4343 chars]",ok,13537
ars-technica,Ars Technica,Ashley Belanger,Bitcoin Fog operator convicted of laundering $400M in bitcoins on darknet,"Roman Sterlingov will appeal, denouncing DOJ's crypto-tracing techniques.",https://arstechnica.com/tech-policy/2024/03/bitcoin-fog-operator-convicted-of-laundering-400m-in-bitcoins-on-darknet/,https://cdn.arstechnica.net/wp-content/uploads/2024/03/GettyImages-1240726120-760x380.jpg,2024-03-13T20:34:08Z,"19
A US federal jury has convicted a dual Russian-Swedish national, Roman Sterlingov, for operating Bitcoin Fog, ""the longest-running bitcoin money laundering service on the darknet,"" the Department… [+5682 chars]",ok,13537
ars-technica,Ars Technica,Dan Goodin,Member of LockBit ransomware group sentenced to 4 years in prison,33-year-old Canadian-Russian national pleaded guilty last month.,https://arstechnica.com/security/2024/03/member-of-lockbit-ransomware-group-sentenced-to-4-years-in-prison/,https://cdn.arstechnica.net/wp-content/uploads/2023/06/GettyImages-519951874-760x380.jpg,2024-03-14T23:15:46Z,"2
A dual Canadian-Russian national has been sentenced to four years in prison for his role in infecting more than 1,000 victims with the LockBit ransomware and then extorting them for tens of millio… [+4427 chars]",ok,13537
business-insider,Business Insider,prosen@insider.com (Phil Rosen),Why crypto is surging back to all-time highs and shrugging off high interest rates,"Bitcoin suffered during the Fed's tightening cycle, but is rallying once again as a supply-demand imbalance offsets rate pressures.",https://markets.businessinsider.com/news/currencies/bitcoin-price-outlook-explained-cryptocurrency-record-high-interest-rates-fed-2024-3,https://i.insider.com/65e603d790413ab8e1d8e646?width=1200&format=jpeg,2024-03-04T18:47:06Z,"Bitcoin is in the midst of a prolonged rebound back to levels last seen when interest rates were near zero and pixelated artwork was regularly selling for millions. 
On Monday, bitcoin spiked more t… [+3350 chars]",ok,13537
business-insider,Business Insider,gglover@insider.com (George Glover),Bitcoin is about to undergo another 'halving' event - here's what that means,Previous halvings have powered the cryptocurrency higher because they reduce the supply of new tokens in circulation.,https://markets.businessinsider.com/news/currencies/bitcoin-halving-event-cryptocurrency-new-all-time-high-halvening-explained-2024-3,https://i.insider.com/65e88f1290413ab8e1d9ae64?width=1200&format=jpeg,2024-03-09T09:31:01Z,"2024 has been a big year for bitcoin.
In January, the Securities and Exchange Commission finally gave its seal of approval to 11 spot ETFs after months of speculation.
The following month, the toke… [+2725 chars]",ok,13537
,NPR,David Gura,Bitcoin hits a record high. Here are 4 things to know about this spectacular rally,"Bitcoin hit a record high, marking a remarkable comeback from a period known as the ""crypto winter."" A big catalyst behind the gains has been the approval of new bitcoin investment funds.",https://www.npr.org/2024/03/05/1235865112/bitcoin-record-high-rally-crypto-sec-etf,https://media.npr.org/assets/img/2024/03/04/gettyimages-19217562081_wide-eba7c909ba5e0cb64e10c0f882f70414cf0a5847-s1400-c100.jpg,2024-03-05T18:38:02Z,"Bitcoin hit a record high following a rally sparked by the Securities and Exchange Commission's approval of bitcoin exchange-traded funds.
Dan Kitwood/Getty Images
Bitcoin is trading at a new all-t… [+5142 chars]",ok,13537
,NPR,Alina Selyukh,"Bad news, chocolate lovers: Cocoa prices have risen faster than bitcoin","It's been a wild historic ride: The price of cocoa topped the all-time record before Valentine's Day and has almost doubled since then, in time for Easter. The culprit is the weather.",https://www.npr.org/2024/03/29/1240947073/cocoa-price-chocolate-kitkat-hershey,https://media.npr.org/assets/img/2024/03/28/ap20101410900586_wide-052ddb8f70634cec7defa48f3c7c4a00afa50374-s1400-c100.jpg,2024-03-29T09:01:15Z,"Chocolate Easter bunnies wait to be decorated at a shop in Belgium.
Virginia Mayo/AP
Cocoa prices are going nuts: The bean is now more valuable than several precious metals and has surged faster th… [+5029 chars]",ok,13537
,Slashdot.org,msmash,"Craig Wright Is Not Bitcoin Creator Satoshi Nakamoto, Judge Declares","A judge in the UK High Court has declared that Australian computer scientist Craig Wright is not Satoshi Nakamoto, the creator of Bitcoin, marking the end of a years-long debate. From a report: ""The evidence is overwhelming,"" said Honourable Mr. Justice James…",https://slashdot.org/story/24/03/14/1428252/craig-wright-is-not-bitcoin-creator-satoshi-nakamoto-judge-declares,https://a.fsdn.com/sd/topics/bitcoin_64.png,2024-03-14T14:41:00Z,"""The evidence is overwhelming,"" said Honourable Mr. Justice James Mellor, delivering a surprise ruling at the close of the trial. ""Dr. Wright is not the author of the Bitcoin white paper. Dr. Wright … [+766 chars]",ok,13537
,Slashdot.org,msmash,Bitcoin 'Halving' Spurs Exodus of Old US Mining Computers Abroad,"An anonymous reader shares a report: About 6,000 older Bitcoin mining machines in the US will soon be idled and sent to a warehouse in Colorado Springs where they'll be refreshed and resold to buyers overseas looking to profit from mining in lower-cost enviro…",https://it.slashdot.org/story/24/03/25/1645212/bitcoin-halving-spurs-exodus-of-old-us-mining-computers-abroad,https://a.fsdn.com/sd/topics/bitcoin_64.png,2024-03-25T18:41:00Z,"About 6,000 older Bitcoin mining machines in the US will soon be idled and sent to a warehouse in Colorado Springs where they'll be refreshed and resold to buyers overseas looking to profit from mini… [+1424 chars]",ok,13537
,Slashdot.org,BeauHD,"Crypto Miner, Pennsylvania Hit With Lawsuit Over Pollution From Bitcoin Mine",An anonymous reader quotes a report from Reuters: An environmental community group on Tuesday sued Stronghold Digital Mining claiming the company's bitcoin mine in northeastern Pennsylvania that burns waste coal and old tires for energy is polluting nearby co…,https://slashdot.org/story/24/03/27/0130229/crypto-miner-pennsylvania-hit-with-lawsuit-over-pollution-from-bitcoin-mine,https://a.fsdn.com/sd/topics/bitcoin_64.png,2024-03-27T03:30:00Z,The Fine Print: The following comments are owned by whoever posted them. We are not responsible for them in any way.,ok,13537
business-insider,Business Insider,"Sarah Andersen,Teresa Zhang,Laila Maidan",How bitcoin halving affects crypto prices,"With bitcoin hitting new record highs, the crypto world is bracing for the next ""halving,"" which occurs every four years.",https://www.businessinsider.com/bitcoin-halving-event-crypto-market-mining-etf-2024,https://i.insider.com/65f08f9890413ab8e1dbd6a4?width=1200&format=jpeg,2024-03-12T20:17:49Z,"With bitcoin hitting new record highs, the crypto world is bracing for the next ""halving,"" which occurs every four years. We break down how it works and what it means for investors.Read the original … [+26 chars]",ok,13537
business-insider,Business Insider,Emily Stewart,Bitcoin will keep going boom and bust until we all die,"Investors are stuck in a perpetual boom-and-bust cycle where they put money into bitcoin every few years, only to get burned by a price crash.",https://www.businessinsider.com/bitcoin-all-time-high-etfs-crypto-price-crash-boom-bust-2024-3,https://i.insider.com/65e78a5790413ab8e1d97e2e?width=1200&format=jpeg,2024-03-06T10:47:01Z,"Bitcoin investors are stuck in a perpetual boom-and-bust cycle where they get back on the bitcoin horse every few years only to get burned.Getty Images; Alyssa Powell/BI
Bitcoin's been back on the u… [+7318 chars]",ok,13537
business-insider,Business Insider,Dan DeFrancesco,It's sentencing day for Sam Bankman-Fried,"Bitcoin is booming, but a piece of its darker past is back in the spotlight.",https://www.businessinsider.com/insider-today-sam-bankman-fried-ftx-bitcoin-prison-sentencing-cryptocurrency-2024-3,https://i.insider.com/653aeece356802a56be57380?width=1200&format=jpeg,2024-03-28T14:20:11Z,"Sam Bankman-Fried.Chelsea Jia Feng/Insider.
<ul><li>This post originally appeared in the Insider Today newsletter.</li><li>You can sign up for Business Insider's daily newsletter here.</li></ul>Hi! … [+6913 chars]",ok,13537
business-insider,Business Insider,George Glover,Bitcoin's been sliding ahead of the 'halving' — but crypto bulls aren't worried,"Crypto bulls are confident that a looming ""halving"" event could power bitcoin to new highs, despite the coin's recent declines.",https://markets.businessinsider.com/news/currencies/bitcoin-price-halving-halvening-event-crypto-market-analysis-ethereum-solana-2024-3,https://i.insider.com/65fc056f2417f97b87cdf7ce?width=1200&format=jpeg,2024-03-21T10:15:17Z,"Getty Images
<ul>
<li>Bitcoin hit a new record high last week, but has since lost ground.</li>
<li>Profit-taking could be fueling the sell-off, which has also hit other tokens like ether and solana.… [+3285 chars]",ok,13537
business-insider,Business Insider,"Matt Turner,Jordan Parker Erb",First it was warehouses taking over America. Now it's data centers.,"In Sunday's edition of Insider Today: Bitcoin is here to stay, and the first wave of ""walking-dead"" venture firms is here.",https://www.businessinsider.com/insider-today-warehouses-data-centers-bitcoin-walking-dead-venture-firms-2024-3,https://i.insider.com/65edc1f0ce7f1785b2e84d57?width=1200&format=jpeg,2024-03-10T14:24:18Z,"Alvarez/Getty Images
<ul><li>This post originally appeared in the Insider Today newsletter.</li><li>You can sign up for Business Insider's daily newsletter here.</li></ul>Welcome back to our Sunday … [+4478 chars]",ok,13537
business-insider,Business Insider,George Glover,Bitcoin and gold are both on fire right now — but for very different reasons,"The leading cryptocurrency and the precious metal are both on winning streaks, but analysts say their simultaneous rises are something of a coincidence.",https://markets.businessinsider.com/news/currencies/bitcoin-gold-record-highs-halving-crypto-etf-inflation-federal-reserve-2024-3,https://i.insider.com/65f0565fce7f1785b2e8c2a2?width=1200&format=jpeg,2024-03-13T09:35:57Z,"Bitcoin is trading above $73,000.Business Insider
<ul>
<li>Bitcoin and gold have both been hitting new record highs.</li>
<li>The cryptocurrency is surging following SEC approval of spot ETFs and a … [+3951 chars]",ok,13537
business-insider,Business Insider,Kenneth Niemeyer,Cocoa prices are rising so fast they are outpacing bitcoin — just in time for Easter,"Cocoa prices are skyrocketing. They've doubled in 2024 so far, leading to a potential rise in Easter chocolate costs this year.",https://www.businessinsider.com/easter-chocolate-expensive-price-of-cocoa-bitcoin-2024-3,https://i.insider.com/65ff282316bde8d4ead18e1e?width=1200&format=jpeg,2024-03-23T19:47:55Z,"Easter candy.Getty Images
<ul><li>Cocoa prices have nearly doubled in 2024 and are outpacing bitcoin in the last 12 months.</li><li>Rising cocoa costs may drive up Easter chocolate prices.</li><li>H… [+1335 chars]",ok,13537
